Fecha Pedido,Categoría Tarjeta,País,Ventas,ID Cliente,Nombre Cliente
2019-03-15,Azul,Ecuador,14,MG-17890,Michael Granlund
2019-03-16,Azul,Ecuador,10,MG-17650,Matthew Grinstein
2019-03-17,Azul,Ecuador,22,AM-10705,Anne McFarland
2019-03-18,Azul,Ecuador,11,TG-21640,Trudy Glocke
2019-03-19,Azul,Ecuador,19,MS-17710,Maurice Satty
2019-03-20,Azul,Ecuador,14,AB-10060,Adam Bellavance
2019-03-21,Azul,Ecuador,17,AG-10525,Andy Gerbode
2019-03-22,Azul,Ecuador,21,GW-14605,Giulietta Weimer
2019-03-23,Azul,Ecuador,21,SN-20710,Steve Nguyen
2019-03-24,Azul,Ecuador,19,AA-10645,Anna Andreadi
2019-03-25,Azul,Ecuador,13,LH-17155,Logan Haushalter
2019-03-26,Azul,Ecuador,16,BK-11260,Berenike Kampe
2019-03-27,Azul,Ecuador,11,KL-16555,Kelly Lampkin
2019-03-28,Azul,Ecuador,13,MG-18145,Mike Gockenbach
2019-03-29,Azul,Ecuador,17,CM-12190,Charlotte Melton
2019-03-30,Azul,Ecuador,19,BC-11125,Becky Castell
2019-03-31,Azul,Ecuador,20,NS-18640,Noel Staavos
2019-04-01,Azul,Ecuador,11,NR-18550,Nick Radford
2019-04-02,Azul,Ecuador,19,RK-19300,Ralph Kennedy
2019-04-03,Azul,Ecuador,24,KH-16360,Katherine Hughes
2019-04-04,Azul,Ecuador,18,PM-19135,Peter McVee
2019-04-05,Azul,Ecuador,19,PO-18865,Patrick O'Donnell
2019-04-06,Azul,Ecuador,23,RW-19540,Rick Wilson
2019-04-07,Azul,Ecuador,17,BS-11755,Bruce Stewart
2019-04-08,Azul,Ecuador,19,BT-11305,Beth Thompson
2019-04-09,Azul,Ecuador,13,WB-21850,William Brown
2019-04-10,Azul,Ecuador,19,CL-12565,Clay Ludtke
2019-04-11,Azul,Ecuador,16,RH-19495,Rick Hansen
2019-04-12,Azul,Ecuador,18,JF-15490,Jeremy Farry
2019-04-13,Azul,Ecuador,17,SD-20485,Shirley Daniels
2019-04-14,Azul,Ecuador,26,TH-21115,Thea Hudgings
2019-04-15,Azul,Ecuador,14,BS-11665,Brian Stugart
2019-04-16,Azul,Ecuador,9,LC-17140,Logan Currie
2019-04-17,Azul,Ecuador,17,SP-20860,Sung Pak
2019-04-18,Azul,Ecuador,21,JW-15955,Joni Wasserman
2019-04-19,Azul,Ecuador,22,CC-12370,Christopher Conant
2019-04-20,Azul,Ecuador,22,NP-18700,Nora Preis
2019-04-21,Azul,Ecuador,20,HA-14905,Helen Abelman
2019-04-22,Azul,Ecuador,13,EB-13840,Ellis Ballard
2019-04-23,Azul,Ecuador,11,TS-21430,Tom Stivers
2019-04-24,Azul,Ecuador,13,LR-16915,Lena Radford
2019-04-25,Azul,Ecuador,14,MA-17560,Matt Abelman
2019-04-26,Azul,Ecuador,20,RB-19705,Roger Barcio
2019-04-27,Azul,Ecuador,22,RA-19945,Ryan Akin
2019-04-28,Azul,Ecuador,19,FA-14230,Frank Atkinson
2019-04-29,Azul,Ecuador,11,LE-16810,Laurel Elliston
2019-04-30,Azul,Ecuador,15,LP-17095,Liz Preis
2019-05-01,Azul,Ecuador,16,TP-21565,Tracy Poddar
2019-05-02,Azul,Ecuador,23,LP-17080,Liz Pelletier
2019-05-03,Azul,Ecuador,22,CA-11965,Carol Adams
2019-05-04,Azul,Ecuador,20,JD-15790,John Dryer
2019-05-05,Azul,Ecuador,14,IL-15100,Ivan Liston
2019-05-06,Azul,Ecuador,14,CA-12265,Christina Anderson
2019-05-07,Azul,Ecuador,15,DB-13120,David Bremer
2019-05-08,Azul,Ecuador,14,JF-15565,Jill Fjeld
2019-05-09,Azul,Ecuador,11,DS-13180,David Smith
2019-05-10,Azul,Ecuador,16,AS-10285,Alejandro Savely
2019-05-11,Azul,Ecuador,19,IM-15070,Irene Maddox
2019-05-12,Azul,Ecuador,13,PM-18940,Paul MacIntyre
2019-05-13,Azul,Ecuador,9,DR-12880,Dan Reichenbach
2019-05-14,Azul,Ecuador,13,AI-10855,Arianne Irving
2019-05-15,Azul,Ecuador,16,MD-17350,Maribeth Dona
2019-05-16,Azul,Ecuador,15,TW-21025,Tamara Willingham
2019-05-17,Azul,Ecuador,16,LA-16780,Laura Armstrong
2019-05-18,Azul,Ecuador,20,EM-13810,Eleni McCrary
2019-05-19,Azul,Ecuador,19,DK-12985,Darren Koutras
2019-05-20,Azul,Ecuador,14,SV-20365,Seth Vernon
2019-05-21,Azul,Ecuador,24,SC-20695,Steve Chapman
2019-05-22,Azul,Ecuador,23,CM-12715,Craig Molinari
2019-05-23,Azul,Ecuador,14,DF-13135,David Flashing
2019-05-24,Azul,Ecuador,24,JK-16120,Julie Kriz
2019-05-25,Azul,Ecuador,25,SC-20020,Sam Craven
2019-05-26,Azul,Ecuador,27,GB-14575,Giulietta Baptist
2019-05-27,Azul,Ecuador,7,SG-20080,Sandra Glassco
2019-05-28,Azul,Ecuador,12,ES-14080,Erin Smith
2019-05-29,Azul,Ecuador,10,BH-11710,Brosina Hoffman
2019-05-30,Azul,Ecuador,19,JK-15730,Joe Kamberova
2019-05-31,Azul,Ecuador,27,LH-17020,Lisa Hazard
2019-06-01,Azul,Ecuador,26,GM-14500,Gene McClure
2019-06-02,Azul,Ecuador,22,NF-18595,Nicole Fjeld
2019-06-03,Azul,Ecuador,12,PO-19180,Philisse Overcash
2019-06-04,Azul,Ecuador,15,TH-21235,Tiffany House
2019-06-05,Azul,Ecuador,24,VW-21775,Victoria Wilson
2019-06-06,Azul,Ecuador,9,NM-18520,Neoma Murray
2019-06-07,Azul,Ecuador,21,ND-18370,Natalie DeCherney
2019-06-08,Azul,Ecuador,20,GT-14710,Greg Tran
2019-06-09,Azul,Ecuador,38,MB-17305,Maria Bertelson
2019-06-10,Azul,Ecuador,20,EJ-14155,Eva Jacobs
2019-06-11,Azul,Ecuador,18,KW-16570,Kelly Williams
2019-06-12,Azul,Ecuador,22,PS-18760,Pamela Stobb
2019-06-13,Azul,Ecuador,21,HA-14920,Helen Andreada
2019-06-14,Azul,Ecuador,22,LF-17185,Luke Foster
2019-06-15,Azul,Ecuador,26,DR-12940,Daniel Raglin
2019-06-16,Azul,Ecuador,23,CL-11890,Carl Ludwig
2019-06-17,Azul,Ecuador,13,SH-19975,Sally Hughsby
2019-06-18,Azul,Ecuador,21,DB-12970,Darren Budd
2019-06-19,Azul,Ecuador,18,FP-14320,Frank Preis
2019-06-20,Azul,Ecuador,24,VG-21790,Vivek Gonzalez
2019-06-21,Azul,Ecuador,19,RC-19825,Roy Collins
2019-06-22,Azul,Ecuador,23,ME-17725,Max Engle
2019-06-23,Azul,Ecuador,24,SV-20935,Susan Vittorini
2019-06-24,Azul,Ecuador,17,BF-11170,Ben Ferrer
2019-06-25,Azul,Ecuador,21,AP-10915,Arthur Prichep
2019-06-26,Azul,Ecuador,21,AB-10015,Aaron Bergman
2019-06-27,Azul,Ecuador,26,DB-13360,Dennis Bolton
2019-06-28,Azul,Ecuador,17,SF-20965,Sylvia Foulston
2019-06-29,Azul,Ecuador,20,PP-18955,Paul Prost
2019-06-30,Azul,Ecuador,24,BS-11365,Bill Shonely
2019-07-01,Azul,Ecuador,23,MS-17365,Maribeth Schnelling
2019-07-02,Azul,Ecuador,17,SM-20005,Sally Matthias
2019-07-03,Azul,Ecuador,12,EB-13705,Ed Braxton
2019-07-04,Azul,Ecuador,24,HW-14935,Helen Wasserman
2019-07-05,Azul,Ecuador,17,EH-13945,Eric Hoffmann
2019-07-06,Azul,Ecuador,16,DJ-13510,Don Jones
2019-07-07,Azul,Ecuador,34,RB-19570,Rob Beeghly
2019-07-08,Azul,Ecuador,20,TT-21460,Tonja Turnell
2019-07-09,Azul,Ecuador,23,BP-11155,Becky Pak
2019-07-10,Azul,Ecuador,14,SH-20395,Shahid Hopkins
2019-07-11,Azul,Ecuador,25,CS-11950,Carlos Soltero
2019-07-12,Azul,Ecuador,29,AA-10315,Alex Avila
2019-07-13,Azul,Ecuador,22,AS-10090,Adam Shillingsburg
2019-07-14,Azul,Ecuador,29,BE-11455,Brad Eason
2019-07-15,Azul,Ecuador,18,CS-12490,Cindy Schnelling
2019-07-16,Azul,Ecuador,12,KB-16315,Karl Braun
2019-07-17,Azul,Ecuador,16,JK-16090,Juliana Krohn
2019-07-18,Azul,Ecuador,21,CM-12235,Chris McAfee
2019-07-19,Azul,Ecuador,25,ML-17395,Marina Lichtenstein
2019-07-20,Azul,Ecuador,25,MC-17425,Mark Cousins
2019-07-21,Azul,Ecuador,26,MO-17500,Mary O'Rourke
2019-07-22,Azul,Ecuador,18,SP-20620,Stefania Perrino
2019-07-23,Azul,Ecuador,17,SM-20320,Sean Miller
2019-07-24,Azul,Ecuador,21,AB-10255,Alejandro Ballentine
2019-07-25,Azul,Ecuador,21,SN-20560,Skye Norling
2019-07-26,Azul,Ecuador,31,CB-12025,Cassandra Brandow
2019-07-27,Azul,Ecuador,19,JG-15310,Jason Gross
2019-07-28,Azul,Ecuador,25,BD-11635,Brian Derr
2019-07-29,Azul,Ecuador,8,MP-17965,Michael Paige
2019-07-30,Azul,Ecuador,26,RH-19600,Rob Haberlin
2019-07-31,Azul,Ecuador,27,PF-19225,Phillip Flathmann
2019-08-01,Azul,Ecuador,21,AB-10165,Alan Barnes
2019-08-02,Azul,Ecuador,19,CC-12430,Chuck Clark
2019-08-03,Azul,Ecuador,24,RD-19480,Rick Duston
2019-08-04,Azul,Ecuador,26,JS-15880,John Stevenson
2019-08-05,Azul,Ecuador,17,LM-17065,Liz MacKendrick
2019-08-06,Azul,Ecuador,10,SH-20635,Stefanie Holloman
2019-08-07,Azul,Ecuador,25,KM-16225,Kalyca Meade
2019-08-08,Azul,Ecuador,20,NB-18655,Nona Balk
2019-08-09,Azul,Ecuador,19,JE-15610,Jim Epp
2019-08-10,Azul,Ecuador,22,SC-20260,Scott Cohen
2019-08-11,Azul,Ecuador,25,CS-12250,Chris Selesnick
2019-08-12,Azul,Ecuador,10,TN-21040,Tanja Norvell
2019-08-13,Azul,Ecuador,11,JE-16165,Justin Ellison
2019-08-14,Azul,Ecuador,19,JM-16195,Justin MacKendrick
2019-08-15,Azul,Ecuador,22,MO-17800,Meg O'Connel
2019-08-16,Azul,Ecuador,15,RF-19840,Roy Franzsisch
2019-08-17,Azul,Ecuador,29,JK-15625,Jim Karlsson
2019-08-18,Azul,Ecuador,27,JE-15715,Joe Elijah
2019-08-19,Azul,Ecuador,11,NP-18325,Naresj Patel
2019-08-20,Azul,Ecuador,15,BM-11575,Brendan Murry
2019-08-21,Azul,Ecuador,20,JP-15460,Jennifer Patt
2019-08-22,Azul,Ecuador,20,ED-13885,Emily Ducich
2019-08-23,Azul,Ecuador,19,BD-11320,Bill Donatelli
2019-08-24,Azul,Ecuador,19,MH-18115,Mick Hernandez
2019-08-25,Azul,Ecuador,23,TC-21535,Tracy Collins
2019-08-26,Azul,Ecuador,11,TB-21190,Thomas Brumley
2019-08-27,Azul,Ecuador,16,TR-21325,Toby Ritter
2019-08-28,Azul,Ecuador,20,HG-14965,Henry Goldwyn
2019-08-29,Azul,Ecuador,14,GA-14515,George Ashbrook
2019-08-30,Azul,Ecuador,20,MG-17680,Maureen Gastineau
2019-08-31,Azul,Ecuador,25,PB-19150,Philip Brown
2019-09-01,Azul,Ecuador,25,DL-12925,Daniel Lacy
2019-09-02,Azul,Ecuador,10,CC-12100,Chad Cunningham
2019-09-03,Azul,Ecuador,16,DB-12910,Daniel Byrd
2019-09-04,Azul,Ecuador,10,KB-16240,Karen Bern
2019-09-05,Azul,Ecuador,16,MM-17920,Michael Moore
2019-09-06,Azul,Ecuador,20,RB-19795,Ross Baird
2019-09-07,Azul,Ecuador,20,PK-19075,Pete Kriz
2019-09-08,Azul,Ecuador,19,SS-20140,Saphhira Shifley
2019-09-09,Azul,Ecuador,15,PS-19045,Penelope Sewall
2019-09-10,Azul,Ecuador,17,BF-11020,Barry Franzsisch
2019-09-11,Azul,Ecuador,26,MH-17290,Marc Harrigan
2019-09-12,Azul,Ecuador,14,EP-13915,Emily Phan
2019-09-13,Azul,Ecuador,16,HM-14860,Harry Marie
2019-09-14,Azul,Ecuador,27,BD-11605,Brian Dahlen
2019-09-15,Azul,Ecuador,14,MC-17845,Michael Chen
2019-09-16,Azul,Ecuador,16,BP-11230,Benjamin Patterson
2019-09-17,Azul,Ecuador,20,GZ-14470,Gary Zandusky
2019-09-18,Azul,Ecuador,18,MK-17905,Michael Kennedy
2019-09-19,Azul,Ecuador,16,MG-18205,Mitch Gastineau
2019-09-20,Azul,Ecuador,11,LH-16900,Lena Hernandez
2019-09-21,Azul,Ecuador,13,HL-15040,Hunter Lopez
2019-09-22,Azul,Ecuador,16,AW-10930,Arthur Wiediger
2019-09-23,Azul,Ecuador,18,KT-16465,Kean Takahito
2019-09-24,Azul,Ecuador,14,JL-15835,John Lee
2019-09-25,Azul,Ecuador,17,BM-11650,Brian Moss
2019-09-26,Azul,Ecuador,20,SO-20335,Sean O'Donnell
2019-09-27,Azul,Ecuador,22,TB-21625,Trudy Brown
2019-09-28,Azul,Ecuador,13,GB-14530,George Bell
2019-09-29,Azul,Ecuador,20,EG-13900,Emily Grady
2019-09-30,Azul,Ecuador,20,KW-16435,Katrina Willman
2019-10-01,Azul,Ecuador,12,DW-13195,David Wiener
2019-10-02,Azul,Ecuador,11,FM-14215,Filia McAdams
2019-10-03,Azul,Ecuador,14,HE-14800,Harold Engle
2019-10-04,Azul,Ecuador,14,SM-20950,Suzanne McNair
2019-10-05,Azul,Ecuador,14,TT-21220,Thomas Thornton
2019-10-06,Azul,Ecuador,20,SC-20095,Sanjit Chand
2019-10-07,Azul,Ecuador,13,JS-16030,Joy Smith
2019-10-08,Azul,Ecuador,13,HG-14845,Harry Greene
2019-10-09,Azul,Ecuador,14,BM-11140,Becky Martin
2019-10-10,Azul,Ecuador,20,MH-18025,Michelle Huthwaite
2019-10-11,Azul,Ecuador,17,MY-18295,Muhammed Yedwab
2019-10-12,Azul,Ecuador,17,TD-20995,Tamara Dahlen
2019-10-13,Azul,Ecuador,20,PS-18970,Paul Stevenson
2019-10-14,Azul,Ecuador,15,JD-15895,Jonathan Doherty
2019-10-15,Azul,Ecuador,15,LW-17125,Liz Willingham
2019-10-16,Azul,Ecuador,15,CJ-12010,Caroline Jumper
2019-10-17,Azul,Ecuador,10,CK-12760,Cyma Kinney
2019-10-18,Azul,Ecuador,10,KM-16660,Khloe Miller
2019-10-19,Azul,Ecuador,18,RO-19780,Rose O'Brian
2019-10-20,Azul,Ecuador,25,MC-17605,Matt Connell
2019-10-21,Azul,Ecuador,13,FO-14305,Frank Olsen
2019-10-22,Azul,Ecuador,11,BW-11110,Bart Watters
2019-10-23,Azul,Ecuador,16,PC-19000,Pauline Chand
2019-10-24,Azul,Ecuador,17,DK-13225,Dean Katz
2019-10-25,Azul,Ecuador,18,RD-19900,Ruben Dartt
2019-10-26,Azul,Ecuador,19,JD-16060,Julia Dunbar
2019-10-27,Azul,Ecuador,14,CK-12595,Clytie Kelty
2019-10-28,Azul,Ecuador,11,SC-20770,Stewart Carmichael
2019-10-29,Azul,Ecuador,17,DL-12865,Dan Lawera
2019-10-30,Azul,Ecuador,20,MV-17485,Mark Van Huff
2019-10-31,Azul,Ecuador,21,CS-12175,Charles Sheldon
2019-11-01,Azul,Ecuador,20,NW-18400,Natalie Webber
2019-11-02,Azul,Ecuador,24,ZC-21910,Zuschuss Carroll
2019-11-03,Azul,Ecuador,19,RS-19420,Ricardo Sperren
2019-11-04,Azul,Ecuador,12,SR-20740,Steven Roelle
2019-11-05,Azul,Ecuador,20,SW-20455,Shaun Weien
2019-11-06,Azul,Ecuador,16,LC-16870,Lena Cacioppo
2019-11-07,Azul,Ecuador,17,PJ-19015,Pauline Johnson
2019-11-08,Azul,Ecuador,22,NL-18310,Nancy Lomonaco
2019-11-09,Azul,Ecuador,18,JC-15775,John Castell
2019-11-10,Azul,Ecuador,23,HJ-14875,Heather Jas
2019-11-11,Azul,Ecuador,16,JE-15475,Jeremy Ellison
2019-11-12,Azul,Ecuador,20,Co-12640,Corey-Lock
2019-11-13,Azul,Ecuador,20,SB-20185,Sarah Brown
2019-11-14,Azul,Ecuador,9,FH-14275,Frank Hawley
2019-11-15,Azul,Ecuador,18,JF-15355,Jay Fein
2019-11-16,Azul,Ecuador,13,SF-20065,Sandra Flanagan
2019-11-17,Azul,Ecuador,17,SZ-20035,Sam Zeldin
2019-11-18,Azul,Ecuador,17,AH-10465,Amy Hunt
2019-11-19,Azul,Ecuador,18,CP-12340,Christine Phan
2019-11-20,Azul,Ecuador,17,JD-16150,Justin Deggeller
2019-11-21,Azul,Ecuador,16,ER-13855,Elpida Rittenbach
2019-11-22,Azul,Ecuador,17,KH-16510,Keith Herrera
2019-11-23,Azul,Ecuador,31,DJ-13420,Denny Joy
2019-11-24,Azul,Ecuador,20,CK-12205,Chloris Kastensmidt
2019-11-25,Azul,Ecuador,16,AD-10180,Alan Dominguez
2019-11-26,Azul,Ecuador,25,LT-17110,Liz Thompson
2019-11-27,Azul,Ecuador,25,VP-21760,Victoria Pisteka
2019-11-28,Azul,Ecuador,17,SC-20725,Steven Cartwright
2019-11-29,Azul,Ecuador,19,GG-14650,Greg Guthrie
2019-11-30,Azul,Ecuador,30,MS-17530,MaryBeth Skach
2019-12-01,Azul,Ecuador,16,BN-11515,Bradley Nguyen
2019-12-02,Azul,Ecuador,8,AH-10120,Adrian Hane
2019-12-03,Azul,Ecuador,21,DO-13645,Doug O'Connell
2019-12-04,Azul,Ecuador,6,FC-14335,Fred Chung
2019-12-05,Azul,Ecuador,13,SA-20830,Sue Ann Reed
2019-12-06,Azul,Ecuador,15,BF-11215,Benjamin Farhat
2019-12-07,Azul,Ecuador,17,CM-11935,Carlos Meador
2019-12-08,Azul,Ecuador,17,LC-16930,Linda Cazamias
2019-12-09,Azul,Ecuador,8,JB-16000,Joy Bell-
2019-12-10,Azul,Ecuador,14,PC-18745,Pamela Coakley
2019-12-11,Azul,Ecuador,7,PO-18850,Patrick O'Brill
2019-12-12,Azul,Ecuador,5,KT-16480,Kean Thornton
2019-12-13,Azul,Ecuador,13,TG-21310,Toby Gnade
2019-12-14,Azul,Ecuador,16,SJ-20500,Shirley Jackson
2019-12-15,Azul,Ecuador,15,RM-19375,Raymond Messe
2019-12-16,Azul,Ecuador,15,DM-13525,Don Miller
2019-12-17,Azul,Ecuador,8,MH-17440,Mark Haberlin
2019-12-18,Azul,Ecuador,18,MF-18250,Monica Federle
2019-12-19,Azul,Ecuador,7,RL-19615,Rob Lucas
2019-12-20,Azul,Ecuador,13,SV-20785,Stewart Visinsky
2019-12-21,Azul,Ecuador,11,ND-18460,Neil Ducich
2019-12-22,Azul,Ecuador,9,SE-20110,Sanjit Engle
2019-12-23,Azul,Ecuador,8,NF-18385,Natalie Fritzler
2019-12-24,Azul,Ecuador,17,HP-14815,Harold Pawlan
2019-12-25,Azul,Ecuador,6,DK-13090,Dave Kipp
2019-12-26,Azul,Ecuador,16,PG-18895,Paul Gonzalez
2019-12-27,Azul,Ecuador,18,GH-14410,Gary Hansen
2019-12-28,Azul,Ecuador,17,MC-17275,Marc Crier
2019-12-29,Azul,Ecuador,14,PR-18880,Patrick Ryan
2019-12-30,Azul,Ecuador,5,GA-14725,Guy Armstrong
2019-12-31,Azul,Ecuador,15,LS-17230,Lycoris Saunders
2020-01-01,Azul,Ecuador,9,DK-13375,Dennis Kane
2020-01-02,Azul,Ecuador,14,AS-10225,Alan Schoenberger
2020-01-03,Azul,Ecuador,11,SP-20650,Stephanie Phelps
2020-01-04,Azul,Ecuador,20,LL-16840,Lauren Leatherbury
2020-01-05,Azul,Ecuador,17,SC-20680,Steve Carroll
2020-01-06,Azul,Ecuador,14,LR-17035,Lisa Ryan
2020-01-07,Azul,Ecuador,11,GM-14455,Gary Mitchum
2020-01-08,Azul,Ecuador,12,BD-11725,Bruce Degenhardt
2020-01-09,Azul,Ecuador,17,LW-16990,Lindsay Williams
2020-01-10,Azul,Ecuador,12,DL-13495,Dionis Lloyd
2020-01-11,Azul,Ecuador,17,EN-13780,Edward Nazzal
2020-01-12,Azul,Ecuador,12,TS-21610,Troy Staebel
2020-01-13,Azul,Ecuador,12,BM-11785,Bryan Mills
2020-01-14,Azul,Ecuador,17,JP-15520,Jeremy Pistek
2020-01-15,Azul,Ecuador,17,JM-15535,Jessica Myrick
2020-01-16,Azul,Ecuador,15,EB-13930,Eric Barreto
2020-01-17,Azul,Ecuador,18,AO-10810,Anthony O'Donnell
2020-01-18,Azul,Ecuador,15,FH-14365,Fred Hopkins
2020-01-19,Azul,Ecuador,12,BP-11185,Ben Peterman
2020-01-20,Azul,Ecuador,6,RW-19630,Rob Williams
2020-01-21,Azul,Ecuador,7,SS-20515,Shirley Schmidt
2020-01-22,Azul,Ecuador,21,GR-14560,Georgia Rosenberg
2020-01-23,Azul,Ecuador,18,RP-19390,Resi Plking
2020-01-24,Azul,Ecuador,18,MM-17260,Magdelene Morse
2020-01-25,Azul,Ecuador,21,DB-13405,Denny Blanton
2020-01-26,Azul,Ecuador,16,LW-16825,Laurel Workman
2020-01-27,Azul,Ecuador,8,CA-12310,Christine Abelman
2020-01-28,Azul,Ecuador,6,DB-13060,Dave Brooks
2020-01-29,Azul,Ecuador,13,SC-20305,Sean Christensen
2020-01-30,Azul,Ecuador,11,CV-12295,Christina VanderZanden
2020-01-31,Azul,Ecuador,18,CY-12745,Craig Yedwab
2020-02-01,Azul,Ecuador,13,TB-21250,Tim Brockman
2020-02-02,Azul,Ecuador,16,MH-17785,Maya Herman
2020-02-03,Azul,Ecuador,10,EM-13825,Elizabeth Moffitt
2020-02-04,Azul,Ecuador,9,TS-21370,Todd Sumrall
2020-02-05,Azul,Ecuador,21,GT-14635,Grant Thornton
2020-02-06,Azul,Ecuador,17,TB-21280,Toby Braunhardt
2020-02-07,Azul,Ecuador,15,AT-10435,Alyssa Tate
2020-02-08,Azul,Ecuador,15,MH-17620,Matt Hagelstein
2020-02-09,Azul,Ecuador,18,JO-15145,Jack O'Briant
2020-02-10,Azul,Ecuador,10,ME-17320,Maria Etezadi
2020-02-11,Azul,Ecuador,10,DM-12955,Dario Medina
2020-02-12,Azul,Ecuador,9,AF-10885,Art Foster
2020-02-13,Azul,Ecuador,22,AS-10630,Ann Steele
2020-02-14,Azul,Ecuador,20,SG-20470,Sheri Gordon
2020-02-15,Azul,Ecuador,20,BF-10975,Barbara Fisher
2020-02-16,Azul,Ecuador,13,HR-14770,Hallie Redmond
2020-02-17,Azul,Ecuador,11,KH-16330,Katharine Harms
2020-02-18,Azul,Ecuador,11,VF-21715,Vicky Freymann
2020-02-19,Azul,Ecuador,16,NC-18625,Noah Childs
